location,rules,weight-dl,operator,deliveryPrice
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 5.00 then fixed price 28.00,5,=,28
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 10.00 then fixed price 28.00,10,<,28
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 10.00 then fixed price 40.00,10,=,40
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 20.00 then fixed price 60.00,20,=,60
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 25.00 then fixed price 60.00,25,<,60
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Cantebury Zone 2 (Hanmer Springs, Temuka, Ashburton,Timaru, Waimate, Temuka)",if weight < 240.00 then fixed price 400.00,240,<,400
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 5.00 then fixed price 28.00,5,=,28
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 10.00 then fixed price 28.00,10,<,28
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 10.00 then fixed price 40.00,10,=,40
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 20.00 then fixed price 60.00,20,=,60
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 25.00 then fixed price 60.00,25,<,60
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Christchurch (Cantebury) incl. Prebbleton, Lincoln, Rolleston",if weight < 240.00 then fixed price 400.00,240,<,400
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 5.00 then fixed price 18.00,5,<,18
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 5.00 then fixed price 35.00,5,=,35
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 10.00 then fixed price 35.00,10,<,35
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 10.00 then fixed price 50.00,10,=,50
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 15.00 then fixed price 50.00,15,<,50
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 15.00 then fixed price 65.00,15,=,65
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 20.00 then fixed price 65.00,20,<,65
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 20.00 then fixed price 80.00,20,=,80
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 25.00 then fixed price 80.00,25,<,80
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 25.00 then fixed price 140.00,25,=,140
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 80.00 then fixed price 140.00,80,<,140
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 80.00 then fixed price 280.00,80,=,280
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 120.00 then fixed price 280.00,120,<,280
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 120.00 then fixed price 420.00,120,=,420
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 180.00 then fixed price 420.00,180,<,420
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight == 180.00 then fixed price 560.00,180,=,560
"Shipping -  Southland (Invercargill, Gore, Winton, Te Anau)",if weight < 240.00 then fixed price 560.00,240,<,560
Shipping -  West Coast (Springs Junction),if weight < 5.00 then fixed price 20.00,5,<,20
Shipping -  West Coast (Springs Junction),if weight == 5.00 then fixed price 28.00,5,=,28
Shipping -  West Coast (Springs Junction),if weight < 10.00 then fixed price 28.00,10,<,28
Shipping -  West Coast (Springs Junction),if weight == 10.00 then fixed price 40.00,10,=,40
Shipping -  West Coast (Springs Junction),if weight < 20.00 then fixed price 40.00,20,<,40
Shipping -  West Coast (Springs Junction),if weight == 20.00 then fixed price 60.00,20,=,60
Shipping -  West Coast (Springs Junction),if weight < 25.00 then fixed price 60.00,25,<,60
Shipping -  West Coast (Springs Junction),if weight == 25.00 then fixed price 100.00,25,=,100
Shipping -  West Coast (Springs Junction),if weight < 80.00 then fixed price 100.00,80,<,100
Shipping -  West Coast (Springs Junction),if weight == 80.00 then fixed price 200.00,80,=,200
Shipping -  West Coast (Springs Junction),if weight < 120.00 then fixed price 200.00,120,<,200
Shipping -  West Coast (Springs Junction),if weight == 120.00 then fixed price 300.00,120,=,300
Shipping -  West Coast (Springs Junction),if weight < 180.00 then fixed price 300.00,180,<,300
Shipping -  West Coast (Springs Junction),if weight == 180.00 then fixed price 400.00,180,=,400
Shipping -  West Coast (Springs Junction),if weight < 240.00 then fixed price 400.00,240,<,400
Shipping -  West Coast (Others),if weight < 5.00 then fixed price 20.00,5,<,20
Shipping -  West Coast (Others),if weight == 5.00 then fixed price 35.00,5,=,35
Shipping -  West Coast (Others),if weight < 10.00 then fixed price 35.00,10,<,35
Shipping -  West Coast (Others),if weight == 10.00 then fixed price 50.00,10,=,50
Shipping -  West Coast (Others),if weight < 15.00 then fixed price 50.00,15,<,50
Shipping -  West Coast (Others),if weight == 15.00 then fixed price 65.00,15,=,65
Shipping -  West Coast (Others),if weight < 20.00 then fixed price 65.00,20,<,65
Shipping -  West Coast (Others),if weight == 20.00 then fixed price 80.00,20,=,80
Shipping -  West Coast (Others),if weight < 25.00 then fixed price 80.00,25,<,80
Shipping -  West Coast (Others),if weight == 25.00 then fixed price 140.00,25,=,140
Shipping -  West Coast (Others),if weight < 80.00 then fixed price 140.00,80,<,140
Shipping -  West Coast (Others),if weight == 80.00 then fixed price 280.00,80,=,280
Shipping -  West Coast (Others),if weight < 120.00 then fixed price 280.00,120,<,280
Shipping -  West Coast (Others),if weight == 120.00 then fixed price 420.00,120,=,420
Shipping -  West Coast (Others),if weight < 180.00 then fixed price 420.00,180,<,420
Shipping -  West Coast (Others),if weight == 180.00 then fixed price 560.00,180,=,560
Shipping -  West Coast (Others),if weight < 240.00 then fixed price 560.00,240,<,560
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 5.00 then fixed price 35.00,5,=,35
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 10.00 then fixed price 35.00,10,<,35
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 10.00 then fixed price 50.00,10,=,50
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 15.00 then fixed price 50.00,15,<,50
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 15.00 then fixed price 65.00,15,=,65
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 20.00 then fixed price 65.00,20,<,65
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 20.00 then fixed price 80.00,20,=,80
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 25.00 then fixed price 80.00,25,<,80
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 25.00 then fixed price 140.00,25,=,140
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 80.00 then fixed price 140.00,80,<,140
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 80.00 then fixed price 280.00,80,=,280
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 120.00 then fixed price 280.00,120,<,280
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 120.00 then fixed price 420.00,120,=,420
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 180.00 then fixed price 420.00,180,<,420
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight == 180.00 then fixed price 560.00,180,=,560
"Shipping -  Otago (Oamaru, Lake Hayes , Waimate, Palmerston, Dunedin, Mosgiel, Milton , Alexandra, Cromwell, Arrowtown, Queenstown, Wanaka)",if weight < 240.00 then fixed price 560.00,240,<,560
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 5.00 then fixed price 25.00,5,=,25
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 10.00 then fixed price 25.00,10,<,25
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 10.00 then fixed price 30.00,10,=,30
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 15.00 then fixed price 30.00,15,<,30
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 15.00 then fixed price 40.00,15,=,40
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 20.00 then fixed price 50.00,20,=,50
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 25.00 then fixed price 50.00,25,<,50
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Tasman, Nelson (Richmond, Tasman, Wakefield, Murchison, Nelson)",if weight < 240.00 then fixed price 400.00,240,<,400
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 5.00 then fixed price 20.00,5,<,20
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 5.00 then fixed price 25.00,5,=,25
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 10.00 then fixed price 25.00,10,<,25
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 10.00 then fixed price 30.00,10,=,30
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 15.00 then fixed price 30.00,15,<,30
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 15.00 then fixed price 40.00,15,=,40
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 20.00 then fixed price 40.00,20,<,40
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 20.00 then fixed price 50.00,20,=,50
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 25.00 then fixed price 50.00,25,<,50
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 25.00 then fixed price 100.00,25,=,100
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 80.00 then fixed price 100.00,80,<,100
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 80.00 then fixed price 200.00,80,=,200
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 120.00 then fixed price 200.00,120,<,200
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 120.00 then fixed price 300.00,120,=,300
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 180.00 then fixed price 300.00,180,<,300
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight == 180.00 then fixed price 400.00,180,=,400
"Shipping -  Marlborough (Picton, Blenheim, Seddon, Ward)",if weight < 240.00 then fixed price 400.00,240,<,400
Applicable Shipping Charge: Our Customer Support will Contact you to Confirm Shipping Charge,=,=,=,=
Click & Collect,=,=,=,=
